DSC_8871,37.872600,-122.271316	['37.872618307,-122.271229169-0008', '37.872618307,-122.271229169-0009', '37.872618307,-122.271229169-0010', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0009', '37.8726029305,-122.271354962-0010', '37.8726339482,-122.271104143-0008', '37.8726339482,-122.271104143-0009', '37.8726339482,-122.271104143-0010', '37.8726472462,-122.270987182-0010', '37.8726612342,-122.270873607-0008', '37.8726612342,-122.270873607-0009', '37.8726787585,-122.270746703-0008', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8861,37.872761,-122.269789	[]
DSC_8855,37.872882,-122.268987	['37.8730449883,-122.268524082-0004']
DSC_8914,37.872573,-122.272397	[]
DSC_8864,37.872704,-122.270246	[]
DSC_8922,37.872823,-122.270393	[]
DSC_8851,37.872682,-122.268556	[]
DSC_8849,37.872682,-122.268556	[]
DSC_8913,37.872515,-122.272874	[]
DSC_8880,37.872413,-122.272761	[]
DSC_8937,37.872930,-122.266933	[]
DSC_8890,37.871752,-122.273089	['37.8715727417,-122.272890543-0004', '37.8715934483,-122.272776795-0002', '37.8715934483,-122.272776795-0003']
DSC_8873,37.872565,-122.271541	[]
DSC_8903,37.870106,-122.272910	[]
DSC_8876,37.872478,-122.272172	[]
DSC_8916,37.872600,-122.272210	[]
DSC_8924,37.872855,-122.270056	[]
DSC_8936,37.873064,-122.266999	[]
DSC_8869,37.872600,-122.271316	['37.872618307,-122.271229169-0008', '37.8725721125,-122.271589211-0009', '37.8725721125,-122.271589211-0010', '37.8725877157,-122.27147185-0008', '37.8725877157,-122.27147185-0009', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0009', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8842,37.872342,-122.268506	['37.8721285416,-122.268283904-0010', '37.8721453008,-122.26814499-0009', '37.8721453008,-122.26814499-0008', '37.8721957237,-122.268230677-0003', '37.8722135808,-122.268110559-0002', '37.8721957237,-122.268230677-0004']
DSC_8896,37.871166,-122.273079	['37.8707329673,-122.272948422-0008', '37.8708257603,-122.272960317-0008']
DSC_8931,37.873220,-122.267680	[]
DSC_8867,37.872629,-122.271032	['37.872618307,-122.271229169-0008', '37.8725721125,-122.271589211-0009', '37.8725721125,-122.271589211-0010', '37.8725877157,-122.27147185-0008', '37.8725877157,-122.27147185-0009', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0009', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8902,37.870253,-122.272954	['37.8705877444,-122.272712268-0004', '37.8706061338,-122.272599761-0002', '37.8706061338,-122.272599761-0003']
DSC_8897,37.870961,-122.273021	['37.8713231426,-122.27302521-0008', '37.8713231426,-122.27302521-0009', '37.8714245674,-122.273029991-0009']
DSC_8872,37.872565,-122.271541	['37.872618307,-122.271229169-0008', '37.872618307,-122.271229169-0009', '37.872618307,-122.271229169-0010', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0009', '37.8726029305,-122.271354962-0010', '37.8726339482,-122.271104143-0008', '37.8726339482,-122.271104143-0009', '37.8726339482,-122.271104143-0010', '37.8726472462,-122.270987182-0010', '37.8726612342,-122.270873607-0008', '37.8726612342,-122.270873607-0009', '37.8726787585,-122.270746703-0008', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8901,37.870447,-122.272977	['37.8705877444,-122.272712268-0004', '37.8706061338,-122.272599761-0002', '37.8706061338,-122.272599761-0003']
DSC_8904,37.869026,-122.272584	[]
DSC_8935,37.873064,-122.266999	['37.8732486193,-122.267300978-0008', '37.8732486193,-122.267300978-0009', '37.8732520141,-122.267168056-0009', '37.8732520141,-122.267168056-0010']
DSC_8929,37.873225,-122.267880	[]
DSC_8898,37.870961,-122.273021	['37.8707329673,-122.272948422-0008', '37.8708257603,-122.272960317-0008']
DSC_8848,37.872682,-122.268556	[]
DSC_8882,37.872437,-122.272943	[]
DSC_8919,37.872599,-122.271872	[]
DSC_8865,37.872719,-122.270404	[]
DSC_8920,37.872546,-122.271829	[]
DSC_8932,37.873219,-122.267432	[]
DSC_8863,37.872730,-122.269941	[]
DSC_8857,37.872832,-122.269273	[]
DSC_8854,37.872958,-122.268791	['37.8730449883,-122.268524082-0004']
DSC_8911,37.871874,-122.273089	[]
DSC_8847,37.872505,-122.268501	[]
DSC_8870,37.872600,-122.271316	['37.872618307,-122.271229169-0010', '37.8725721125,-122.271589211-0009', '37.8725721125,-122.271589211-0010', '37.8725877157,-122.27147185-0008', '37.8725877157,-122.27147185-0009', '37.8725877157,-122.27147185-0010', '37.8726029305,-122.271354962-0008', '37.8726339482,-122.271104143-0009', '37.8726339482,-122.271104143-0010', '37.8726472462,-122.270987182-0010', '37.8726612342,-122.270873607-0008', '37.8726612342,-122.270873607-0009', '37.8726787585,-122.270746703-0008', '37.8727887539,-122.270766053-0004', '37.8728883166,-122.27078393-0002', '37.8728883166,-122.27078393-0003', '37.8728883166,-122.27078393-0004']
DSC_8934,37.873298,-122.267257	['37.8730449631,-122.266996217-0004', '37.8730449631,-122.266996217-0010', '37.8731395332,-122.26701098-0008', '37.8731395332,-122.26701098-0009']
DSC_8926,37.873009,-122.269010	[]
DSC_8879,37.872413,-122.272761	[]
DSC_8860,37.872761,-122.269789	['37.8729579243,-122.2696047-0009', '37.8729579243,-122.2696047-0010', '37.8730484773,-122.269629246-0008']
DSC_8928,37.873199,-122.268079	[]
DSC_8892,37.871340,-122.273075	['37.8710078249,-122.272982547-0008', '37.8711186843,-122.272997343-0009', '37.8712247127,-122.273011747-0010', '37.8712247127,-122.273011747-0009']
